Token,Surprisal,Verb
all,8.420883782947385,scrubbed
last,5.120531450943355,scrubbed
night,0.16942792823618313,scrubbed
",",0.2634242399779829,scrubbed
john,15.17144848620472,scrubbed
scrubbed,17.380924337615884,scrubbed
.,0.03488605854743696,scrubbed
all,11.281266779788997,broke
last,6.896297751669424,broke
night,0.4635532065179023,broke
",",0.6337831889114641,broke
john,11.53303610147686,broke
broke,14.351287607731138,broke
.,0.02081417394748187,broke
john,14.642456183457213,walked
walked,18.71673978719256,walked
.,0.039934238224835876,walked
john,10.09397682456402,arrived
arrived,18.421569374257682,arrived
.,0.05830292063410029,arrived
all,8.555196274457586,thought
last,1.267500477564181,thought
night,0.6806864829525497,thought
",",0.0011913856569946647,thought
john,12.310859808186622,thought
thought,1.1127800354143602,thought
.,0.0015236246459574007,thought
