Token,Surprisal,Verb
john,9.849001118706338,scrubbed
out,7.8375934576119555,scrubbed
-,2.42295755976565,scrubbed
scrubbed,17.752109997365384,scrubbed
the,0.005820525649886913,scrubbed
other,1.802176499250131,scrubbed
guy,6.728679178144465,scrubbed
.,0.009069316888687255,scrubbed
john,10.850158317359446,broke
out,7.944520778043759,broke
-,0.1990081979462101,broke
broke,14.924160840589582,broke
the,0.023557716799830538,broke
other,1.910385298769493,broke
guy,4.164617052840611,broke
.,0.008453761652061168,broke
john,9.973763968292166,walked
out,2.150680999958326,walked
-,0.019721546073246003,walked
walked,4.531425298619518,walked
the,0.004932630083864261,walked
other,1.7436057092727473,walked
guy,5.3621707663670195,walked
.,0.003604870811876631,walked
john,10.833395406515564,arrived
out,8.640495728206757,arrived
-,0.8519231736095293,arrived
arrived,14.867091470147574,arrived
the,0.014064887365728978,arrived
other,2.8332869267873626,arrived
guy,14.756551851150045,arrived
.,0.013756486823201922,arrived
john,10.364038268166347,thought
out,8.090819130209018,thought
-,0.6389354394212142,thought
thought,12.423615648530495,thought
the,0.005708980030313639,thought
other,1.2925334362498557,thought
guy,4.848261078893273,thought
.,0.00320785848336758,thought
