Token,Surprisal,Verb
john,9.597511719785405,scrubbed
scrubbed,6.995095489608472,scrubbed
his,0.01253473312614615,scrubbed
fingers,6.319399780383228,scrubbed
raw,6.290881786398232,scrubbed
.,0.001235536326766471,scrubbed
john,10.258081596018116,broke
broke,14.832936415292686,broke
his,0.150785626156765,broke
hands,5.704887460176414,broke
bloody,13.044807466313042,broke
.,0.03807840029627103,broke
john,11.068166540118463,walked
walked,13.7716373603265,walked
himself,11.616009293189249,walked
tired,16.355957585671852,walked
.,0.017287411138862212,walked
john,9.285324648710438,arrived
arrived,17.77176523308556,arrived
himself,13.624720824038251,arrived
tired,14.145498432901324,arrived
.,0.020511217976256806,arrived
john,11.341788190310925,thought
thought,11.417780821399722,thought
himself,5.365201908941476,thought
to,0.07496800943976971,thought
sleep,5.50075712457908,thought
.,0.009884174292481361,thought
